item,kind,defining_package,defining_module,visibility,public_path,compilation_cells,execution_models,resource_profiles,capability_roles,requirements,current_path,migration_action,status
PendingWork,type,clinkz-wot-core,status,public,clinkz_wot_core::PendingWork,no-default|async-no-std|std,manual-poll,all,all,API-SURFACE-001|CONSTRAINED-PROGRESS-001,core/src/status.rs,keep,frozen
PendingWorkClass,type,clinkz-wot-core,status,public,clinkz_wot_core::PendingWorkClass,no-default|async-no-std|std,manual-poll,all,all,API-SURFACE-001|CONSTRAINED-PROGRESS-001|HANDLER-CANCEL-002,core/src/status.rs,replace,frozen
StartStatus,type,clinkz-wot-core,status,public,clinkz_wot_core::StartStatus,no-default|async-no-std|std,manual-poll,all,all,API-SURFACE-001,absent,add,frozen
ProcessEvent,type,clinkz-wot-core,status,public,clinkz_wot_core::ProcessEvent,no-default|async-no-std|std,all,all,all,API-SURFACE-001,absent,add,frozen
ProcessTerminal,type,clinkz-wot-core,status,public,clinkz_wot_core::ProcessTerminal,no-default|async-no-std|std,all,all,all,API-SURFACE-001,absent,add,frozen
StepStatus,type,clinkz-wot-core,status,public,clinkz_wot_core::StepStatus,no-default|async-no-std|std,manual-poll,all,all,API-SURFACE-001|CONSTRAINED-PROGRESS-001,absent,add,frozen
CleanupOutcome,type,clinkz-wot-core,cleanup,public,clinkz_wot_core::CleanupOutcome,no-default|async-no-std|std,all,all,all,LIFE-EXPOSE-003|BIND-ROUTE-001|BIND-CALL-CANCEL-001|BIND-DELIVERY-001,absent,add,frozen
CleanupOperation,type,clinkz-wot-core,cleanup,public,clinkz_wot_core::CleanupOperation,no-default|async-no-std|std,all,all,all,CLEANUP-RECORD-001|BIND-CALL-CANCEL-001|BIND-ROUTE-001|BIND-DELIVERY-001,absent,add,frozen
CleanupOwner,type,clinkz-wot-core,cleanup,public,clinkz_wot_core::CleanupOwner,no-default|async-no-std|std,all,all,all,CLEANUP-RECORD-001|BIND-CALL-CANCEL-001|BIND-ROUTE-001,absent,add,frozen
CleanupReservation,type,clinkz-wot-core,cleanup,public,clinkz_wot_core::CleanupReservation,no-default|async-no-std|std,all,all,all,CLEANUP-RECORD-001|BIND-CALL-CANCEL-001|BIND-MEM-001,absent,add,frozen
cleanup_reservation_new,function,clinkz-wot-core,cleanup,public,clinkz_wot_core::CleanupReservation::new,no-default|async-no-std|std,all,all,all,CLEANUP-RECORD-001|BIND-CALL-CANCEL-001|BIND-MEM-001,absent,add,frozen
CleanupPhaseContext,type,clinkz-wot-core,cleanup,public,clinkz_wot_core::CleanupPhaseContext,no-default|async-no-std|std,all,all,all,CLEANUP-RECORD-001|BIND-CALL-CANCEL-001|BIND-ROUTE-001|BIND-DELIVERY-001,absent,add,frozen
cleanup_phase_context_bind,function,clinkz-wot-core,cleanup,public,clinkz_wot_core::CleanupPhaseContext::bind,no-default|async-no-std|std,all,all,all,CLEANUP-RECORD-001|BIND-CALL-CANCEL-001|BIND-MEM-001,absent,add,frozen
CleanupTransferRequest,type,clinkz-wot-core,cleanup,public,clinkz_wot_core::CleanupTransferRequest,no-default|async-no-std|std,all,all,all,CLEANUP-RECORD-001|BIND-CALL-CANCEL-001|BIND-ROUTE-001|BIND-DELIVERY-001,absent,add,frozen
CleanupTransferEnvelope,type,clinkz-wot-core,cleanup,public,clinkz_wot_core::CleanupTransferEnvelope,no-default|async-no-std|std,all,all,all,CLEANUP-RECORD-001|BIND-CALL-CANCEL-001|BIND-ROUTE-001|BIND-DELIVERY-001,absent,add,frozen
cleanup_transfer_envelope_new,function,clinkz-wot-core,cleanup,public,clinkz_wot_core::CleanupTransferEnvelope::new,no-default|async-no-std|std,all,all,all,CLEANUP-RECORD-001|BIND-CALL-CANCEL-001,absent,add,frozen
cleanup_transfer_envelope_request,function,clinkz-wot-core,cleanup,public,clinkz_wot_core::CleanupTransferEnvelope::request,no-default|async-no-std|std,all,all,all,CLEANUP-RECORD-001|BIND-CALL-CANCEL-001,absent,add,frozen
cleanup_transfer_envelope_into_parts,function,clinkz-wot-core,cleanup,public,clinkz_wot_core::CleanupTransferEnvelope::into_parts,no-default|async-no-std|std,all,all,all,CLEANUP-RECORD-001|BIND-CALL-CANCEL-001,absent,add,frozen
CleanupTransferAcceptance,type,clinkz-wot-core,cleanup,public,clinkz_wot_core::CleanupTransferAcceptance,no-default|async-no-std|std,all,all,all,CLEANUP-RECORD-001|BIND-CALL-CANCEL-001|BIND-ROUTE-001|BIND-DELIVERY-001,absent,add,frozen
CleanupTransferTarget,trait,clinkz-wot-core,cleanup,public,clinkz_wot_core::CleanupTransferTarget,no-default|async-no-std|std,all,all,all,CLEANUP-RECORD-001|BIND-CALL-CANCEL-001|BIND-ROUTE-001|BIND-DELIVERY-001,absent,add,frozen
cleanup_transfer_target_try_accept,function,clinkz-wot-core,cleanup,public,clinkz_wot_core::CleanupTransferTarget::try_accept,no-default|async-no-std|std,all,all,all,CLEANUP-RECORD-001|BIND-CALL-CANCEL-001,absent,add,frozen
CleanupRecord,state_record,clinkz-wot-core,cleanup,public,clinkz_wot_core::CleanupRecord,no-default|async-no-std|std,all,all,all,CLEANUP-RECORD-001|LIFE-EXPOSE-003|BIND-CALL-CANCEL-001|BIND-ROUTE-001,absent,add,frozen
CleanupHandle,type,clinkz-wot-core,status,public,clinkz_wot_core::CleanupHandle,no-default|async-no-std|std,manual-poll,all,all,CONSTRAINED-PROGRESS-001|HANDLE-DROP-001,absent,remove,removed
CoreResult,type,clinkz-wot-core,error,public,clinkz_wot_core::CoreResult,no-default|async-no-std|std,all,all,all,ERR-TAXONOMY-001,core/src/error.rs,keep,frozen
CoreError,type,clinkz-wot-core,error,public,clinkz_wot_core::CoreError,no-default|async-no-std|std,all,all,all,ERR-TAXONOMY-001,core/src/error.rs,replace,frozen
ErrorContext,type,clinkz-wot-core,error,public,clinkz_wot_core::ErrorContext,no-default|async-no-std|std,all,all,all,ERR-TAXONOMY-001,absent,add,frozen
SelectionFailureReason,type,clinkz-wot-core,error,public,clinkz_wot_core::SelectionFailureReason,no-default|async-no-std|std,all,all,consumer,ERR-TAXONOMY-001,absent,add,frozen
RetryClass,type,clinkz-wot-core,error,public,clinkz_wot_core::RetryClass,no-default|async-no-std|std,all,all,all,ERR-RETRY-001,absent,add,frozen
ErrorPhase,type,clinkz-wot-core,error,public,clinkz_wot_core::ErrorPhase,no-default|async-no-std|std,all,all,all,ERR-TAXONOMY-001,absent,add,frozen
SecurityFailureReason,type,clinkz-wot-core,error,public,clinkz_wot_core::SecurityFailureReason,no-default|async-no-std|std,all,all,producer|consumer,ERR-TAXONOMY-001|API-SECURITY-001,absent,add,frozen
ThingId,type,clinkz-wot-core,identity,public,clinkz_wot_core::ThingId,no-default|async-no-std|std,all,all,all,API-TYPES-001,core/src/identity.rs,keep,frozen
BindingId,type,clinkz-wot-core,identity,public,clinkz_wot_core::BindingId,no-default|async-no-std|std,all,all,producer|consumer,API-TYPES-001,absent,add,frozen
BindingGeneration,type,clinkz-wot-core,identity,public,clinkz_wot_core::BindingGeneration,no-default|async-no-std|std,all,all,producer|consumer,API-TYPES-001,absent,add,frozen
BindingConfigurationDigest,type,clinkz-wot-core,identity,public,clinkz_wot_core::BindingConfigurationDigest,no-default|async-no-std|std,all,all,producer|consumer,PLAN-ARTIFACT-001,absent,add,frozen
PlanId,type,clinkz-wot-core,identity,public,clinkz_wot_core::PlanId,no-default|async-no-std|std,all,all,producer|consumer,API-TYPES-001,absent,add,frozen
PlanSetGeneration,type,clinkz-wot-core,identity,public,clinkz_wot_core::PlanSetGeneration,no-default|async-no-std|std,all,all,producer|consumer,PLAN-SET-001,absent,add,frozen
SubscriptionId,type,clinkz-wot-core,identity,public,clinkz_wot_core::SubscriptionId,no-default|async-no-std|std,all,all,producer|consumer,API-TYPES-001,absent,add,frozen
CorrelationId,type,clinkz-wot-core,identity,public,clinkz_wot_core::CorrelationId,no-default|async-no-std|std,all,all,producer|consumer,API-TYPES-001,core/src/identity.rs,replace,frozen
ActionInvocationRef,type,clinkz-wot-core,identity,public,clinkz_wot_core::ActionInvocationRef,no-default|async-no-std|std,all,all,producer|consumer,API-TYPES-001,absent,add,frozen
ThingSlotId,type,clinkz-wot-core,identity,public,clinkz_wot_core::ThingSlotId,no-default|async-no-std|std,manual-poll,application-static,all,API-HOT-ID-001,absent,add,frozen
AffordanceSlotId,type,clinkz-wot-core,identity,public,clinkz_wot_core::AffordanceSlotId,no-default|async-no-std|std,manual-poll,application-static,all,API-HOT-ID-001,absent,add,frozen
BindingSlotId,type,clinkz-wot-core,identity,public,clinkz_wot_core::BindingSlotId,no-default|async-no-std|std,manual-poll,application-static,producer|consumer,API-HOT-ID-001,absent,add,frozen
HandlerSlotId,type,clinkz-wot-core,identity,public,clinkz_wot_core::HandlerSlotId,no-default|async-no-std|std,manual-poll,application-static,producer,API-HOT-ID-001,core/src/identity.rs,keep,frozen
PlanSlotId,type,clinkz-wot-core,identity,public,clinkz_wot_core::PlanSlotId,no-default|async-no-std|std,manual-poll,application-static,producer|consumer,API-HOT-ID-001,absent,add,frozen
SubscriptionSlotId,type,clinkz-wot-core,identity,public,clinkz_wot_core::SubscriptionSlotId,no-default|async-no-std|std,manual-poll,application-static,producer|consumer,API-HOT-ID-001,absent,add,frozen
CleanupSlotId,type,clinkz-wot-core,identity,public,clinkz_wot_core::CleanupSlotId,no-default|async-no-std|std,manual-poll,application-static,all,API-HOT-ID-001|CLEANUP-RECORD-001,absent,add,frozen
PreparedRouteId,type,clinkz-wot-core,identity,public,clinkz_wot_core::PreparedRouteId,no-default|async-no-std|std,manual-poll,application-static,producer,API-SURFACE-001,absent,add,frozen
ActiveRouteId,type,clinkz-wot-core,identity,public,clinkz_wot_core::ActiveRouteId,no-default|async-no-std|std,manual-poll,application-static,producer,API-SURFACE-001,absent,add,frozen
PreparedRouteKey,type,clinkz-wot-core,identity,public,clinkz_wot_core::PreparedRouteKey,no-default|async-no-std|std,all,all,producer,STATE-BIND-001,absent,add,frozen
AffordanceKind,type,clinkz-wot-core,interaction,public,clinkz_wot_core::AffordanceKind,no-default|async-no-std|std,all,all,producer|consumer,API-TYPES-001,core/src/thing.rs,relocate,frozen
AffordanceTarget,type,clinkz-wot-core,interaction,public,clinkz_wot_core::AffordanceTarget,no-default|async-no-std|std,all,all,producer|consumer,API-TYPES-001|CONSTRAINED-OWN-001,core/src/thing.rs,replace,frozen
Payload,type,clinkz-wot-core,interaction,public,clinkz_wot_core::Payload,no-default|async-no-std|std,all,all,producer|consumer,API-PAYLOAD-001,core/src/payload.rs,replace,frozen
MediaType,type,clinkz-wot-core,interaction,public,clinkz_wot_core::MediaType,no-default|async-no-std|std,all,all,producer|consumer,API-PAYLOAD-001,core/src/interaction.rs,keep,frozen
AcceptHint,type,clinkz-wot-core,interaction,public,clinkz_wot_core::AcceptHint,no-default|async-no-std|std,all,all,producer,API-PAYLOAD-001|HANDLER-API-001|HANDLER-STORAGE-001|PLAN-BOUND-001,core/src/interaction.rs,replace,frozen
ContentCoding,type,clinkz-wot-core,interaction,public,clinkz_wot_core::ContentCoding,no-default|async-no-std|std,all,all,producer|consumer,API-PAYLOAD-001,absent,add,frozen
InteractionInput,type,clinkz-wot-core,interaction,public,clinkz_wot_core::InteractionInput,no-default|async-no-std|std,all,all,producer|consumer,API-PAYLOAD-001|HANDLER-API-001,core/src/interaction.rs,replace,frozen
InteractionOptions,type,clinkz-wot-core,interaction,public,clinkz_wot_core::InteractionOptions,no-default|async-no-std|std,all,all,consumer,API-OPTIONS-001,core/src/interaction.rs,replace,frozen
InteractionOutput,type,clinkz-wot-core,interaction,public,clinkz_wot_core::InteractionOutput,no-default|async-no-std|std,all,all,producer|consumer,API-PAYLOAD-001,core/src/interaction.rs,replace,frozen
InteractionStatus,type,clinkz-wot-core,interaction,public,clinkz_wot_core::InteractionStatus,no-default|async-no-std|std,all,all,producer|consumer,API-PAYLOAD-001,core/src/interaction.rs,replace,frozen
ResponsePayloadRole,type,clinkz-wot-core,interaction,public,clinkz_wot_core::ResponsePayloadRole,no-default|async-no-std|std,all,all,producer|consumer,API-PAYLOAD-001,absent,add,frozen
ResponseSelection,type,clinkz-wot-core,interaction,public,clinkz_wot_core::ResponseSelection,no-default|async-no-std|std,all,all,producer|consumer,API-PAYLOAD-001,absent,add,frozen
BindingResponseMetadata,type,clinkz-wot-core,interaction,public,clinkz_wot_core::BindingResponseMetadata,no-default|async-no-std|std,all,all,producer|consumer,API-PAYLOAD-001|BIND-IO-001|BIND-OUT-001,absent,add,frozen
InteractionOutputMetadata,type,clinkz-wot-core,interaction,public,clinkz_wot_core::InteractionOutputMetadata,no-default|async-no-std|std,all,all,producer|consumer,API-PAYLOAD-001,absent,add,frozen
validate_untrusted_binding_output,function,clinkz-wot-planning,response,public,clinkz_wot_planning::validate_untrusted_binding_output,no-default|async-no-std|std,all,all,consumer,API-PAYLOAD-001|BIND-OUT-001,absent,add,frozen
HandlerContext,type,clinkz-wot-core,handler,public,clinkz_wot_core::HandlerContext,no-default|async-no-std|std,all,all,producer,HANDLER-API-001,absent,add,frozen
CancellationView,type,clinkz-wot-core,handler,public,clinkz_wot_core::CancellationView,no-default|async-no-std|std,all,all,all,HANDLER-VALUE-001,absent,add,frozen
Deadline,type,clinkz-wot-core,handler,public,clinkz_wot_core::Deadline,no-default|async-no-std|std,all,all,all,TIME-001|HANDLER-CANCEL-001|HANDLER-CANCEL-002,absent,add,frozen
SubscriptionAcceptance,type,clinkz-wot-core,handler,public,clinkz_wot_core::SubscriptionAcceptance,no-default|async-no-std|std,all,all,producer,HANDLER-VALUE-001,absent,add,frozen
HandlerFootprint,type,clinkz-wot-core,handler,public,clinkz_wot_core::HandlerFootprint,no-default|async-no-std|std,all,all,producer,HANDLER-VALUE-001,absent,add,frozen
HandlerStep,type,clinkz-wot-core,handler,public,clinkz_wot_core::HandlerStep,no-default|async-no-std|std,manual-poll,application-static,producer,HANDLER-VALUE-001,absent,add,frozen
HostHandlerFuture,type,clinkz-wot-core,handler,crate,-,std-async,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-001|HOST-ASYNC-001,absent,add,frozen
HostAsyncAdapter,state_record,clinkz-wot-core,handler,crate,-,std-async,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-001|HOST-ASYNC-001,absent,add,frozen
HostHandlerRegistration,registration,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-STORAGE-001|HOST-ASYNC-001,absent,add,frozen
HostHandlerRegistrationIngress,trait,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistrationIngress,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-STORAGE-001|CONCUR-LIN-001,absent,add,frozen
host_registration_read_property,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::read_property,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-STORAGE-001,absent,add,frozen
host_registration_async_read_property,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::async_read_property,std-async,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-001|HANDLER-STORAGE-001|HOST-ASYNC-001,absent,add,frozen
host_registration_step_read_property,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::step_read_property,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-002|HANDLER-STORAGE-001|CONSTRAINED-WORK-001,absent,add,frozen
host_registration_write_property,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::write_property,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-STORAGE-001,absent,add,frozen
host_registration_async_write_property,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::async_write_property,std-async,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-001|HANDLER-STORAGE-001|HOST-ASYNC-001,absent,add,frozen
host_registration_step_write_property,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::step_write_property,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-002|HANDLER-STORAGE-001|CONSTRAINED-WORK-001,absent,add,frozen
host_registration_observe_property,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::observe_property,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-STORAGE-001,absent,add,frozen
host_registration_async_observe_property,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::async_observe_property,std-async,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-001|HANDLER-STORAGE-001|HOST-ASYNC-001,absent,add,frozen
host_registration_step_observe_property,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::step_observe_property,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-002|HANDLER-STORAGE-001|CONSTRAINED-WORK-001,absent,add,frozen
host_registration_unobserve_property,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::unobserve_property,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-STORAGE-001,absent,add,frozen
host_registration_async_unobserve_property,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::async_unobserve_property,std-async,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-001|HANDLER-STORAGE-001|HOST-ASYNC-001,absent,add,frozen
host_registration_step_unobserve_property,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::step_unobserve_property,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-002|HANDLER-STORAGE-001|CONSTRAINED-WORK-001,absent,add,frozen
host_registration_invoke_action,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::invoke_action,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-STORAGE-001,absent,add,frozen
host_registration_async_invoke_action,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::async_invoke_action,std-async,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-001|HANDLER-STORAGE-001|HOST-ASYNC-001,absent,add,frozen
host_registration_step_invoke_action,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::step_invoke_action,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-002|HANDLER-STORAGE-001|CONSTRAINED-WORK-001,absent,add,frozen
host_registration_query_action,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::query_action,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-STORAGE-001,absent,add,frozen
host_registration_async_query_action,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::async_query_action,std-async,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-001|HANDLER-STORAGE-001|HOST-ASYNC-001,absent,add,frozen
host_registration_step_query_action,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::step_query_action,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-002|HANDLER-STORAGE-001|CONSTRAINED-WORK-001,absent,add,frozen
host_registration_cancel_action,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::cancel_action,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-STORAGE-001,absent,add,frozen
host_registration_async_cancel_action,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::async_cancel_action,std-async,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-001|HANDLER-STORAGE-001|HOST-ASYNC-001,absent,add,frozen
host_registration_step_cancel_action,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::step_cancel_action,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-002|HANDLER-STORAGE-001|CONSTRAINED-WORK-001,absent,add,frozen
host_registration_subscribe_event,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::subscribe_event,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-STORAGE-001,absent,add,frozen
host_registration_async_subscribe_event,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::async_subscribe_event,std-async,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-001|HANDLER-STORAGE-001|HOST-ASYNC-001,absent,add,frozen
host_registration_step_subscribe_event,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::step_subscribe_event,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-002|HANDLER-STORAGE-001|CONSTRAINED-WORK-001,absent,add,frozen
host_registration_unsubscribe_event,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::unsubscribe_event,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-STORAGE-001,absent,add,frozen
host_registration_async_unsubscribe_event,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::async_unsubscribe_event,std-async,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-001|HANDLER-STORAGE-001|HOST-ASYNC-001,absent,add,frozen
host_registration_step_unsubscribe_event,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::step_unsubscribe_event,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-002|HANDLER-STORAGE-001|CONSTRAINED-WORK-001,absent,add,frozen
host_registration_read_all_properties,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::read_all_properties,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-STORAGE-001,absent,add,frozen
host_registration_async_read_all_properties,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::async_read_all_properties,std-async,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-001|HANDLER-STORAGE-001|HOST-ASYNC-001,absent,add,frozen
host_registration_step_read_all_properties,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::step_read_all_properties,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-002|HANDLER-STORAGE-001|CONSTRAINED-WORK-001,absent,add,frozen
host_registration_write_all_properties,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::write_all_properties,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-STORAGE-001,absent,add,frozen
host_registration_async_write_all_properties,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::async_write_all_properties,std-async,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-001|HANDLER-STORAGE-001|HOST-ASYNC-001,absent,add,frozen
host_registration_step_write_all_properties,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::step_write_all_properties,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-002|HANDLER-STORAGE-001|CONSTRAINED-WORK-001,absent,add,frozen
host_registration_read_multiple_properties,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::read_multiple_properties,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-STORAGE-001,absent,add,frozen
host_registration_async_read_multiple_properties,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::async_read_multiple_properties,std-async,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-001|HANDLER-STORAGE-001|HOST-ASYNC-001,absent,add,frozen
host_registration_step_read_multiple_properties,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::step_read_multiple_properties,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-CANCEL-002|HANDLER-STORAGE-001|CONSTRAINED-WORK-001,absent,add,frozen
host_registration_write_multiple_properties,function,clinkz-wot-core,handler,public,clinkz_wot_core::handler::HostHandlerRegistration::write_multiple_properties,std,host-async,gateway-default-v1,producer,HANDLER-API-001|HANDLER-STORAGE-001,absent,add,frozen
